store_id,sale_date,transaction_id,item_code,quantity,amount
1019,2026-01-13,T1019-001,10010001,2,36.00
1019,,T1019-001,10020001,-1,12.50
1019,2026-01-13,T1019-001,10030001,1,-18.00
1019,2026-01-14,T1019-002,10010002,1,20.00
1019,2026-01-14,T1019-002,10020002,2,25.00
1020,2026/01/13,T1020-001,10010003,1,19.00
1020,2026/01/13,T1020-001,10030002,2,34.00
1020,2026/01/14,T1020-002,10010004,-1,21.00
1020,2026/01/14,T1020-002,10020003,1,-11.00
1021,20260114,T1021-001,10010005,3,63.00
1021,,T1021-001,10020004,1,13.00
1021,2026-01-14,T1021-001,10088001,1,8.00
1021,2026.01.15,T1021-002,10030003,1,17.00
1021,2026.01.15,T1021-002,10020005,1,14.00
